index;month;noticias_suicidio;media_sentimiento_noticias;sentiment_analysis_score;mes;descrip;suicidios;Menores_de_15_anos;De_15_a_29_anos;De_30_a_39_anos;De_40_a_44_anos;De_45_a_49_anos;De_50_a_54_anos;De_55_a_59_anos;De_60_a_64_anos;De_65_a_69_anos;De_70_a_74_anos;De_75_a_79_anos;De_80_a_84_anos;De_85_a_89_anos;De_90_a_94_anos;De_95_anos_y_mns;Unnamed:_18;suicidios_3_meses_despues;date_minus_3moths;suicidios_4_meses_despues;date_minus_4moths;suicidios_5_meses_despues;date_minus_5moths;suicidios_6_meses_despues;date_minus_6moths
0.0;2005-01-01;195;-0.011282051282051281;-9.533333333333333;2005-01-01;Ambos sexos;285.0;0.0;32.0;47.0;18.0;22.0;19.0;22.0;20.0;13.0;29.0;30.0;17.0;10.0;6.0;0.0;;307;2005-01-01;304;2005-01-01;320;2005-01-01;306;2005-01-01
0.0;2005-01-01;195;-0.011282051282051281;-9.533333333333333;2005-01-01;Ambos sexos;285.0;0.0;32.0;47.0;18.0;22.0;19.0;22.0;20.0;13.0;29.0;30.0;17.0;10.0;6.0;0.0;;304;2005-01-01;304;2005-01-01;320;2005-01-01;306;2005-01-01
2.0;2005-03-01;184;-0.009076086956521744;-9.195652173913043;2005-03-01;Ambos sexos;302.0;1.0;47.0;50.0;20.0;22.0;30.0;17.0;22.0;18.0;29.0;24.0;16.0;2.0;3.0;1.0;;320;2005-03-01;306;2005-03-01;292;2005-03-01;275;2005-03-01
3.0;2005-04-01;131;-0.011145038167938938;-8.732824427480915;2005-04-01;Ambos sexos;307.0;2.0;41.0;48.0;20.0;29.0;17.0;19.0;25.0;22.0;25.0;25.0;16.0;9.0;8.0;1.0;;306;2005-04-01;292;2005-04-01;275;2005-04-01;278;2005-04-01
4.0;2005-05-01;165;-0.01133333333333334;-10.933333333333334;2005-05-01;Ambos sexos;304.0;2.0;35.0;58.0;27.0;21.0;21.0;23.0;15.0;20.0;23.0;25.0;19.0;12.0;3.0;0.0;;292;2005-05-01;275;2005-05-01;278;2005-05-01;230;2005-05-01
5.0;2005-06-01;148;-0.01608108108108108;-12.621621621621621;2005-06-01;Ambos sexos;320.0;0.0;36.0;64.0;28.0;18.0;18.0;29.0;13.0;22.0;21.0;30.0;25.0;5.0;8.0;3.0;;275;2005-06-01;278;2005-06-01;230;2005-06-01;245;2005-06-01
6.0;2005-07-01;125;-0.011120000000000003;-10.584;2005-07-01;Ambos sexos;306.0;0.0;36.0;43.0;25.0;26.0;19.0;18.0;23.0;16.0;29.0;30.0;20.0;16.0;4.0;1.0;;278;2005-07-01;230;2005-07-01;245;2005-07-01;264;2005-07-01
7.0;2005-08-01;158;-0.010316455696202537;-12.164556962025317;2005-08-01;Ambos sexos;292.0;1.0;33.0;41.0;27.0;19.0;13.0;15.0;13.0;28.0;31.0;22.0;31.0;12.0;5.0;1.0;;230;2005-08-01;245;2005-08-01;264;2005-08-01;221;2005-08-01
8.0;2005-09-01;150;-0.008466666666666667;-7.926666666666667;2005-09-01;Ambos sexos;275.0;1.0;33.0;46.0;27.0;19.0;19.0;16.0;25.0;12.0;21.0;21.0;22.0;10.0;3.0;0.0;;245;2005-09-01;264;2005-09-01;221;2005-09-01;289;2005-09-01
9.0;2005-10-01;139;-0.007553956834532376;-5.143884892086331;2005-10-01;Ambos sexos;278.0;0.0;41.0;44.0;33.0;20.0;18.0;15.0;15.0;19.0;27.0;19.0;16.0;7.0;4.0;0.0;;264;2005-10-01;221;2005-10-01;289;2005-10-01;285;2005-10-01
10.0;2005-11-01;126;-0.012222222222222226;-20.72222222222222;2005-11-01;Ambos sexos;230.0;0.0;36.0;40.0;19.0;10.0;19.0;15.0;11.0;12.0;21.0;19.0;17.0;9.0;2.0;0.0;;221;2005-11-01;289;2005-11-01;285;2005-11-01;323;2005-11-01
11.0;2005-12-01;110;-0.007454545454545457;-8.927272727272728;2005-12-01;Ambos sexos;245.0;0.0;33.0;52.0;27.0;19.0;17.0;12.0;16.0;20.0;16.0;8.0;10.0;10.0;4.0;1.0;;289;2005-12-01;285;2005-12-01;323;2005-12-01;305;2005-12-01
12.0;2006-01-01;165;-0.013636363636363634;-20.13939393939394;2006-01-01;Ambos sexos;264.0;0.0;37.0;56.0;17.0;18.0;20.0;17.0;16.0;13.0;28.0;19.0;14.0;6.0;3.0;0.0;;285;2006-01-01;323;2006-01-01;305;2006-01-01;299;2006-01-01
12.0;2006-01-01;165;-0.013636363636363634;-20.13939393939394;2006-01-01;Ambos sexos;264.0;0.0;37.0;56.0;17.0;18.0;20.0;17.0;16.0;13.0;28.0;19.0;14.0;6.0;3.0;0.0;;323;2006-01-01;323;2006-01-01;305;2006-01-01;299;2006-01-01
14.0;2006-03-01;176;-0.020681818181818166;-17.306818181818183;2006-03-01;Ambos sexos;289.0;0.0;33.0;52.0;21.0;23.0;20.0;20.0;18.0;16.0;21.0;25.0;24.0;11.0;4.0;1.0;;305;2006-03-01;299;2006-03-01;302;2006-03-01;284;2006-03-01
15.0;2006-04-01;111;-0.009279279279279282;-11.666666666666666;2006-04-01;Ambos sexos;285.0;0.0;36.0;51.0;26.0;26.0;19.0;21.0;19.0;10.0;22.0;19.0;20.0;13.0;2.0;1.0;;299;2006-04-01;302;2006-04-01;284;2006-04-01;267;2006-04-01
16.0;2006-05-01;144;-0.010763888888888896;-12.07638888888889;2006-05-01;Ambos sexos;323.0;1.0;40.0;55.0;25.0;23.0;24.0;21.0;30.0;25.0;19.0;17.0;31.0;11.0;0.0;1.0;;302;2006-05-01;284;2006-05-01;267;2006-05-01;220;2006-05-01
17.0;2006-06-01;110;-0.009000000000000003;-9.518181818181818;2006-06-01;Ambos sexos;305.0;1.0;37.0;46.0;32.0;21.0;22.0;17.0;20.0;23.0;31.0;15.0;20.0;16.0;4.0;0.0;;284;2006-06-01;267;2006-06-01;220;2006-06-01;187;2006-06-01
18.0;2006-07-01;101;-0.006435643564356439;-9.722772277227723;2006-07-01;Ambos sexos;299.0;0.0;41.0;55.0;16.0;33.0;14.0;20.0;16.0;10.0;26.0;26.0;23.0;14.0;3.0;2.0;;267;2006-07-01;220;2006-07-01;187;2006-07-01;257;2006-07-01
19.0;2006-08-01;191;-0.013193717277486913;-14.6282722513089;2006-08-01;Ambos sexos;302.0;1.0;31.0;38.0;26.0;29.0;18.0;29.0;16.0;20.0;22.0;32.0;32.0;5.0;3.0;0.0;;220;2006-08-01;187;2006-08-01;257;2006-08-01;238;2006-08-01
20.0;2006-09-01;162;-0.009938271604938275;-9.037037037037036;2006-09-01;Ambos sexos;284.0;0.0;29.0;41.0;30.0;23.0;14.0;22.0;26.0;20.0;20.0;22.0;20.0;10.0;4.0;3.0;;187;2006-09-01;257;2006-09-01;238;2006-09-01;294;2006-09-01
21.0;2006-10-01;158;-0.011075949367088613;-10.753164556962025;2006-10-01;Ambos sexos;267.0;0.0;22.0;59.0;23.0;22.0;22.0;13.0;20.0;16.0;20.0;22.0;13.0;10.0;5.0;0.0;;257;2006-10-01;238;2006-10-01;294;2006-10-01;257;2006-10-01
22.0;2006-11-01;153;-0.005098039215686275;-4.862745098039215;2006-11-01;Ambos sexos;220.0;0.0;28.0;34.0;23.0;23.0;16.0;19.0;16.0;8.0;14.0;13.0;14.0;7.0;4.0;1.0;;238;2006-11-01;294;2006-11-01;257;2006-11-01;314;2006-11-01
23.0;2006-12-01;150;-0.014066666666666663;-20.426666666666666;2006-12-01;Ambos sexos;187.0;1.0;20.0;29.0;18.0;19.0;15.0;7.0;13.0;8.0;20.0;19.0;11.0;6.0;0.0;1.0;;294;2006-12-01;257;2006-12-01;314;2006-12-01;302;2006-12-01
24.0;2007-01-01;192;-0.0076562500000000025;-3.2447916666666665;2007-01-01;Ambos sexos;257.0;2.0;27.0;35.0;28.0;18.0;15.0;17.0;15.0;17.0;24.0;20.0;19.0;17.0;3.0;0.0;;257;2007-01-01;314;2007-01-01;302;2007-01-01;315;2007-01-01
24.0;2007-01-01;192;-0.0076562500000000025;-3.2447916666666665;2007-01-01;Ambos sexos;257.0;2.0;27.0;35.0;28.0;18.0;15.0;17.0;15.0;17.0;24.0;20.0;19.0;17.0;3.0;0.0;;314;2007-01-01;314;2007-01-01;302;2007-01-01;315;2007-01-01
26.0;2007-03-01;182;-0.007472527472527475;-8.054945054945055;2007-03-01;Ambos sexos;294.0;0.0;22.0;53.0;20.0;29.0;20.0;29.0;21.0;15.0;29.0;21.0;17.0;13.0;4.0;1.0;;302;2007-03-01;315;2007-03-01;295;2007-03-01;272;2007-03-01
27.0;2007-04-01;147;-0.011768707482993203;-13.115646258503402;2007-04-01;Ambos sexos;257.0;0.0;25.0;40.0;31.0;17.0;16.0;17.0;23.0;14.0;18.0;24.0;23.0;5.0;4.0;0.0;;315;2007-04-01;295;2007-04-01;272;2007-04-01;249;2007-04-01
28.0;2007-05-01;156;-0.013974358974358982;-15.935897435897436;2007-05-01;Ambos sexos;314.0;2.0;34.0;48.0;32.0;25.0;24.0;24.0;20.0;14.0;20.0;24.0;26.0;15.0;5.0;1.0;;295;2007-05-01;272;2007-05-01;249;2007-05-01;237;2007-05-01
29.0;2007-06-01;116;-0.010862068965517247;-13.586206896551724;2007-06-01;Ambos sexos;302.0;2.0;33.0;56.0;31.0;27.0;17.0;19.0;22.0;23.0;20.0;18.0;17.0;13.0;3.0;1.0;;272;2007-06-01;249;2007-06-01;237;2007-06-01;233;2007-06-01
30.0;2007-07-01;126;-0.016428571428571435;-12.761904761904763;2007-07-01;Ambos sexos;315.0;0.0;29.0;52.0;29.0;26.0;25.0;25.0;15.0;12.0;27.0;29.0;26.0;17.0;2.0;1.0;;249;2007-07-01;237;2007-07-01;233;2007-07-01;271;2007-07-01
31.0;2007-08-01;211;-0.004691943127962088;-10.701421800947868;2007-08-01;Ambos sexos;295.0;0.0;35.0;47.0;23.0;28.0;19.0;22.0;21.0;17.0;20.0;24.0;20.0;17.0;2.0;0.0;;237;2007-08-01;233;2007-08-01;271;2007-08-01;257;2007-08-01
32.0;2007-09-01;248;-0.00560483870967742;5.645161290322581;2007-09-01;Ambos sexos;272.0;3.0;19.0;42.0;25.0;28.0;24.0;13.0;21.0;19.0;18.0;29.0;14.0;14.0;3.0;0.0;;233;2007-09-01;271;2007-09-01;257;2007-09-01;309;2007-09-01
33.0;2007-10-01;160;-0.007250000000000002;-8.8125;2007-10-01;Ambos sexos;249.0;0.0;27.0;33.0;24.0;27.0;21.0;17.0;16.0;17.0;16.0;18.0;19.0;11.0;3.0;0.0;;271;2007-10-01;257;2007-10-01;309;2007-10-01;283;2007-10-01
34.0;2007-11-01;106;-0.009339622641509436;-8.622641509433961;2007-11-01;Ambos sexos;237.0;1.0;27.0;41.0;25.0;22.0;16.0;19.0;15.0;8.0;16.0;15.0;22.0;6.0;3.0;1.0;;257;2007-11-01;309;2007-11-01;283;2007-11-01;282;2007-11-01
35.0;2007-12-01;127;-0.019527559055118115;-15.393700787401574;2007-12-01;Ambos sexos;233.0;0.0;22.0;42.0;23.0;19.0;14.0;14.0;22.0;16.0;15.0;12.0;19.0;12.0;3.0;0.0;;309;2007-12-01;283;2007-12-01;282;2007-12-01;326;2007-12-01
36.0;2008-01-01;142;-0.013028169014084512;-13.04225352112676;2008-01-01;Ambos sexos;271.0;1.0;26.0;47.0;22.0;20.0;18.0;33.0;12.0;24.0;14.0;28.0;15.0;10.0;1.0;0.0;;283;2008-01-01;282;2008-01-01;326;2008-01-01;301;2008-01-01
37.0;2008-02-01;180;-0.017999999999999995;-17.516666666666666;2008-02-01;Ambos sexos;257.0;1.0;33.0;37.0;23.0;15.0;15.0;25.0;18.0;25.0;19.0;17.0;15.0;9.0;5.0;0.0;;282;2008-02-01;326;2008-02-01;301;2008-02-01;296;2008-02-01
38.0;2008-03-01;154;-0.015259740259740258;-11.03896103896104;2008-03-01;Ambos sexos;309.0;0.0;40.0;60.0;29.0;29.0;30.0;17.0;22.0;15.0;16.0;16.0;19.0;13.0;3.0;0.0;;326;2008-03-01;301;2008-03-01;296;2008-03-01;282;2008-03-01
39.0;2008-04-01;158;-0.02164556962025316;-23.82278481012658;2008-04-01;Ambos sexos;283.0;1.0;35.0;56.0;31.0;32.0;15.0;17.0;20.0;18.0;14.0;18.0;14.0;8.0;4.0;0.0;;301;2008-04-01;296;2008-04-01;282;2008-04-01;304;2008-04-01
40.0;2008-05-01;134;-0.007985074626865676;-10.880597014925373;2008-05-01;Ambos sexos;282.0;1.0;26.0;48.0;29.0;23.0;26.0;15.0;16.0;22.0;18.0;20.0;23.0;11.0;3.0;1.0;;296;2008-05-01;282;2008-05-01;304;2008-05-01;273;2008-05-01
41.0;2008-06-01;115;-0.00965217391304348;-6.504347826086956;2008-06-01;Ambos sexos;326.0;0.0;31.0;46.0;32.0;25.0;26.0;20.0;21.0;20.0;30.0;23.0;26.0;19.0;4.0;3.0;;282;2008-06-01;304;2008-06-01;273;2008-06-01;273;2008-06-01
42.0;2008-07-01;196;-0.012806122448979593;-9.142857142857142;2008-07-01;Ambos sexos;301.0;0.0;35.0;39.0;33.0;24.0;36.0;21.0;21.0;20.0;19.0;22.0;20.0;8.0;1.0;2.0;;304;2008-07-01;273;2008-07-01;273;2008-07-01;275;2008-07-01
43.0;2008-08-01;148;-0.008918918918918921;-13.743243243243244;2008-08-01;Ambos sexos;296.0;0.0;35.0;51.0;30.0;30.0;19.0;23.0;17.0;10.0;25.0;30.0;19.0;4.0;3.0;0.0;;273;2008-08-01;273;2008-08-01;275;2008-08-01;270;2008-08-01
44.0;2008-09-01;177;-0.009548022598870061;-18.271186440677965;2008-09-01;Ambos sexos;282.0;0.0;25.0;51.0;19.0;25.0;26.0;27.0;13.0;13.0;19.0;31.0;20.0;8.0;4.0;1.0;;273;2008-09-01;275;2008-09-01;270;2008-09-01;272;2008-09-01
45.0;2008-10-01;150;-0.013266666666666673;-21.086666666666666;2008-10-01;Ambos sexos;304.0;0.0;34.0;40.0;36.0;28.0;23.0;24.0;21.0;23.0;24.0;15.0;18.0;14.0;4.0;0.0;;275;2008-10-01;270;2008-10-01;272;2008-10-01;258;2008-10-01
46.0;2008-11-01;173;-0.012312138728323707;-10.699421965317919;2008-11-01;Ambos sexos;273.0;0.0;29.0;42.0;33.0;25.0;24.0;19.0;22.0;20.0;17.0;15.0;12.0;10.0;4.0;1.0;;270;2008-11-01;272;2008-11-01;258;2008-11-01;316;2008-11-01
47.0;2008-12-01;174;-0.014195402298850574;-11.379310344827585;2008-12-01;Ambos sexos;273.0;0.0;31.0;46.0;24.0;23.0;26.0;25.0;22.0;16.0;16.0;20.0;14.0;6.0;3.0;1.0;;272;2008-12-01;258;2008-12-01;316;2008-12-01;321;2008-12-01
48.0;2009-01-01;194;-0.017938144329896905;-12.54639175257732;2009-01-01;Ambos sexos;275.0;1.0;36.0;49.0;30.0;23.0;17.0;21.0;17.0;11.0;14.0;24.0;12.0;14.0;5.0;1.0;;258;2009-01-01;316;2009-01-01;321;2009-01-01;330;2009-01-01
48.0;2009-01-01;194;-0.017938144329896905;-12.54639175257732;2009-01-01;Ambos sexos;275.0;1.0;36.0;49.0;30.0;23.0;17.0;21.0;17.0;11.0;14.0;24.0;12.0;14.0;5.0;1.0;;316;2009-01-01;316;2009-01-01;321;2009-01-01;330;2009-01-01
50.0;2009-03-01;203;-0.017192118226600977;-8.94088669950739;2009-03-01;Ambos sexos;272.0;0.0;32.0;42.0;23.0;37.0;20.0;16.0;26.0;21.0;22.0;16.0;8.0;7.0;2.0;0.0;;321;2009-03-01;330;2009-03-01;298;2009-03-01;303;2009-03-01
51.0;2009-04-01;166;-0.008915662650602415;-5.716867469879518;2009-04-01;Ambos sexos;258.0;0.0;20.0;40.0;16.0;28.0;22.0;20.0;26.0;14.0;18.0;20.0;20.0;11.0;3.0;0.0;;330;2009-04-01;298;2009-04-01;303;2009-04-01;290;2009-04-01
52.0;2009-05-01;158;-0.0064556962025316455;-4.829113924050633;2009-05-01;Ambos sexos;316.0;0.0;31.0;46.0;30.0;36.0;26.0;15.0;22.0;31.0;22.0;28.0;19.0;8.0;2.0;0.0;;298;2009-05-01;303;2009-05-01;290;2009-05-01;288;2009-05-01
53.0;2009-06-01;139;-0.009784172661870507;-7.913669064748201;2009-06-01;Ambos sexos;321.0;3.0;35.0;46.0;32.0;28.0;28.0;22.0;24.0;18.0;22.0;24.0;20.0;15.0;4.0;0.0;;303;2009-06-01;290;2009-06-01;288;2009-06-01;208;2009-06-01
54.0;2009-07-01;150;-0.012000000000000007;-10.473333333333333;2009-07-01;Ambos sexos;330.0;0.0;41.0;45.0;27.0;33.0;28.0;20.0;22.0;16.0;20.0;25.0;27.0;16.0;8.0;2.0;;290;2009-07-01;288;2009-07-01;208;2009-07-01;270;2009-07-01
55.0;2009-08-01;149;-0.008389261744966445;-7.818791946308725;2009-08-01;Ambos sexos;298.0;2.0;26.0;39.0;28.0;30.0;21.0;23.0;15.0;21.0;32.0;29.0;11.0;17.0;4.0;0.0;;288;2009-08-01;208;2009-08-01;270;2009-08-01;227;2009-08-01
56.0;2009-09-01;171;-0.008713450292397666;-9.865497076023392;2009-09-01;Ambos sexos;303.0;0.0;36.0;47.0;30.0;20.0;16.0;22.0;28.0;20.0;18.0;23.0;24.0;17.0;2.0;0.0;;208;2009-09-01;270;2009-09-01;227;2009-09-01;293;2009-09-01
57.0;2009-10-01;188;-0.00936170212765958;-12.356382978723405;2009-10-01;Ambos sexos;290.0;1.0;28.0;43.0;26.0;29.0;25.0;27.0;18.0;17.0;19.0;28.0;19.0;6.0;3.0;1.0;;270;2009-10-01;227;2009-10-01;293;2009-10-01;289;2009-10-01
58.0;2009-11-01;172;-0.014186046511627913;-16.843023255813954;2009-11-01;Ambos sexos;288.0;0.0;35.0;41.0;33.0;33.0;21.0;20.0;23.0;10.0;14.0;30.0;11.0;11.0;5.0;1.0;;227;2009-11-01;293;2009-11-01;289;2009-11-01;313;2009-11-01
59.0;2009-12-01;200;-0.01594999999999999;-17.35;2009-12-01;Ambos sexos;208.0;1.0;24.0;35.0;21.0;13.0;16.0;14.0;14.0;18.0;12.0;14.0;14.0;11.0;0.0;1.0;;293;2009-12-01;289;2009-12-01;313;2009-12-01;268;2009-12-01
60.0;2010-01-01;167;-0.01173652694610779;-13.826347305389222;2010-01-01;Ambos sexos;270.0;0.0;22.0;34.0;25.0;25.0;34.0;26.0;20.0;23.0;14.0;20.0;11.0;9.0;5.0;2.0;;289;2010-01-01;313;2010-01-01;268;2010-01-01;280;2010-01-01
60.0;2010-01-01;167;-0.01173652694610779;-13.826347305389222;2010-01-01;Ambos sexos;270.0;0.0;22.0;34.0;25.0;25.0;34.0;26.0;20.0;23.0;14.0;20.0;11.0;9.0;5.0;2.0;;313;2010-01-01;313;2010-01-01;268;2010-01-01;280;2010-01-01
62.0;2010-03-01;168;-0.008750000000000003;-8.845238095238095;2010-03-01;Ambos sexos;293.0;0.0;28.0;48.0;33.0;38.0;35.0;18.0;20.0;15.0;14.0;16.0;16.0;9.0;3.0;0.0;;268;2010-03-01;280;2010-03-01;273;2010-03-01;265;2010-03-01
63.0;2010-04-01;177;-0.015310734463276842;-15.457627118644067;2010-04-01;Ambos sexos;289.0;1.0;22.0;44.0;36.0;21.0;32.0;20.0;21.0;21.0;19.0;24.0;13.0;13.0;1.0;1.0;;280;2010-04-01;273;2010-04-01;265;2010-04-01;240;2010-04-01
64.0;2010-05-01;195;-0.0074871794871794895;-5.753846153846154;2010-05-01;Ambos sexos;313.0;1.0;28.0;52.0;24.0;25.0;37.0;31.0;17.0;23.0;19.0;15.0;26.0;11.0;4.0;0.0;;273;2010-05-01;265;2010-05-01;240;2010-05-01;202;2010-05-01
65.0;2010-06-01;221;-0.005520361990950228;-7.97737556561086;2010-06-01;Ambos sexos;268.0;0.0;17.0;33.0;22.0;29.0;22.0;22.0;20.0;19.0;20.0;24.0;16.0;19.0;4.0;1.0;;265;2010-06-01;240;2010-06-01;202;2010-06-01;238;2010-06-01
66.0;2010-07-01;172;-0.0056395348837209305;-3.38953488372093;2010-07-01;Ambos sexos;280.0;0.0;25.0;52.0;32.0;31.0;22.0;20.0;18.0;10.0;19.0;19.0;18.0;11.0;3.0;0.0;;240;2010-07-01;202;2010-07-01;238;2010-07-01;256;2010-07-01
67.0;2010-08-01;147;-0.0061904761904761916;-9.448979591836734;2010-08-01;Ambos sexos;273.0;0.0;26.0;46.0;31.0;22.0;21.0;21.0;17.0;15.0;16.0;23.0;14.0;12.0;7.0;2.0;;202;2010-08-01;238;2010-08-01;256;2010-08-01;243;2010-08-01
68.0;2010-09-01;179;-0.012905027932960889;-12.044692737430168;2010-09-01;Ambos sexos;265.0;0.0;23.0;44.0;33.0;20.0;29.0;15.0;19.0;14.0;14.0;19.0;17.0;12.0;5.0;1.0;;238;2010-09-01;256;2010-09-01;243;2010-09-01;296;2010-09-01
69.0;2010-10-01;181;-0.010441988950276248;-8.513812154696133;2010-10-01;Ambos sexos;240.0;0.0;12.0;33.0;32.0;22.0;23.0;18.0;16.0;15.0;16.0;17.0;19.0;11.0;6.0;0.0;;256;2010-10-01;243;2010-10-01;296;2010-10-01;268;2010-10-01
70.0;2010-11-01;214;-0.0042523364485981315;0.43457943925233644;2010-11-01;Ambos sexos;202.0;1.0;12.0;42.0;22.0;24.0;17.0;13.0;13.0;9.0;8.0;14.0;14.0;9.0;3.0;1.0;;243;2010-11-01;296;2010-11-01;268;2010-11-01;277;2010-11-01
71.0;2010-12-01;229;-0.013275109170305678;-10.663755458515285;2010-12-01;Ambos sexos;238.0;0.0;15.0;40.0;25.0;29.0;20.0;20.0;18.0;16.0;16.0;15.0;12.0;8.0;3.0;1.0;;296;2010-12-01;268;2010-12-01;277;2010-12-01;285;2010-12-01
72.0;2011-01-01;240;-0.012041666666666664;-10.220833333333333;2011-01-01;Ambos sexos;256.0;0.0;10.0;40.0;36.0;18.0;23.0;21.0;16.0;14.0;20.0;27.0;16.0;11.0;2.0;2.0;;268;2011-01-01;277;2011-01-01;285;2011-01-01;263;2011-01-01
